Time,Single Node Train - Pod,Distributed Train - Worker 1,Distributed Train - Worker 2,Distributed Train - Worker 3,Distributed Train - Worker 4
1,0,0.8189142645,0.8200237703,0.8163538748,0.7968274881
2,0.00004261313189,0.8660249503,0.8551838329,0.8259859425,0.8359938506
3,0.00006927245024,0.8683674674,0.8940671875,0.8401063752,0.8176505992
4,0.00003568035192,0.8905697109,0.8377574333,0.8281539786,0.8601863467
5,0.00003521248658,0.8268429912,0.7719961828,0.7762258436,0.7616799384
6,0,,,,
7,0.0000392218512,,,,
8,0.00004064926729,,,,
9,0,,,,
10,0.00003432446656,,,,
11,0.00002472357723,,,,
12,0.00003527223737,,,,
13,0.00004588340498,,,,
14,0.00002850786537,,,,
15,0.00003209145701,,,,
16,0.00005008905354,,,,
17,0.00008895915081,,,,
18,0.00002542988896,,,,
19,0.00006252676862,,,,
20,1.827660114,,,,
21,3.312132894,,,,
22,3.320537611,,,,
23,3.326699226,,,,
24,3.325333599,,,,
25,3.322124711,,,,
26,0.00004749532671,,,,
27,0.00003091456888,,,,
28,0.0000156565108,,,,
29,0.0000253115681,,,,
30,0.00004962999466,,,,
31,0.00002727278268,,,,